Source;Threads;Input;Result;Output
sequential;1;10x1M;5.590526;ok
sequential;1;10x2M;12.010923;ok
sequential;1;10x5M;111.308806;ok
sequential;1;10x1M;5.402017;ok
sequential;1;10x2M;12.046681;ok
sequential;1;10x5M;111.345478;ok
sequential;1;10x1M;5.398637;ok
sequential;1;10x2M;12.021901;ok
sequential;1;10x5M;111.319347;ok
sequential;1;10x1M;5.463176;ok
sequential;1;10x2M;12.003148;ok
sequential;1;10x5M;111.176258;ok
sequential;1;10x1M;5.397460;ok
sequential;1;10x2M;12.038464;ok
sequential;1;10x5M;111.344377;ok
sequential;1;10x1M;5.402982;ok
sequential;1;10x2M;12.024670;ok
sequential;1;10x5M;111.188256;ok
sequential;1;10x1M;5.482071;ok
sequential;1;10x2M;11.995814;ok
sequential;1;10x5M;111.287410;ok
sequential;1;10x1M;5.395667;ok
sequential;1;10x2M;11.990766;ok
sequential;1;10x5M;111.331772;ok
sequential;1;10x1M;5.396465;ok
sequential;1;10x2M;12.045912;ok
sequential;1;10x5M;111.236974;ok
sequential;1;10x1M;5.566580;ok
sequential;1;10x2M;11.988555;ok
sequential;1;10x5M;111.186569;ok
sequential;1;10x1M;5.400706;ok
sequential;1;10x2M;12.042346;ok
sequential;1;10x5M;111.211776;ok
sequential;1;10x1M;5.399913;ok
sequential;1;10x2M;12.028602;ok
sequential;1;10x5M;111.316920;ok
sequential;1;10x1M;5.419176;ok
sequential;1;10x2M;11.990039;ok
sequential;1;10x5M;111.338753;ok
sequential;1;10x1M;5.401519;ok
sequential;1;10x2M;12.040825;ok
sequential;1;10x5M;111.360316;ok
sequential;1;10x1M;5.407099;ok
sequential;1;10x2M;12.034733;ok
sequential;1;10x5M;111.210285;ok
sequential;1;10x1M;5.410033;ok
sequential;1;10x2M;12.046843;ok
sequential;1;10x5M;111.254248;ok
sequential;1;10x1M;5.397519;ok
sequential;1;10x2M;12.032402;ok
sequential;1;10x5M;123.901458;ok
sequential;1;10x1M;5.406999;ok
sequential;1;10x2M;12.051589;ok
sequential;1;10x5M;111.334443;ok
sequential;1;10x1M;5.397184;ok
sequential;1;10x2M;12.029997;ok
sequential;1;10x5M;111.240198;ok
sequential;1;10x1M;5.394711;ok
sequential;1;10x2M;12.042979;ok
sequential;1;10x5M;111.184987;ok
parallel;1;10x1M;5.409501;ok
parallel;1;10x2M;12.128691;ok
parallel;1;10x5M;111.973294;ok
parallel;2;10x1M;3.395806;ok
parallel;2;10x2M;7.623603;ok
parallel;2;10x5M;64.346385;ok
parallel;4;10x1M;4.263276;ok
